name,country,zip_code,lon,lat,utc_time_difference
Chicago,USA,60601,-87.6298,41.8781,-6
Los Angeles,USA,90001,-118.2437,34.0522,-8
Miami,USA,33101,-80.1918,25.7617,-5
New York,USA,10001,-74.0060,40.7128,-5
Houston,USA,77001,-95.3698,29.7604,-6
Phoenix,USA,85001,-112.0740,33.4484,-7
Philadelphia,USA,19019,-75.1652,39.9526,-5
San Antonio,USA,78201,-98.4936,29.4241,-6
San Diego,USA,92101,-117.1611,32.7157,-8
Dallas,USA,75201,-96.7969,32.7767,-6
San Jose,USA,95101,-121.8863,37.3382,-8
Austin,USA,73301,-97.7431,30.2672,-6
Jacksonville,USA,32201,-81.6557,30.3322,-5
Fort Worth,USA,76101,-97.3301,32.7555,-6
Columbus,USA,43201,-82.9988,39.9612,-5
San Francisco,USA,94101,-122.4194,37.7749,-8
Charlotte,USA,28201,-80.8431,35.2271,-5
Indianapolis,USA,46201,-86.1581,39.7684,-5
Seattle,USA,98101,-122.3321,47.6062,-8
Denver,USA,80201,-104.9903,39.7392,-7
Washington,USA,20001,-77.0369,38.9072,-5
Boston,USA,02108,-71.0589,42.3601,-5
El Paso,USA,79901,-106.4869,31.7619,-7
Nashville,USA,37201,-86.7816,36.1627,-6
Detroit,USA,48201,-83.0458,42.3314,-5
Oklahoma City,USA,73101,-97.5164,35.4676,-6
Portland,USA,97201,-122.6765,45.5122,-8
Las Vegas,USA,89101,-115.1398,36.1699,-8
Memphis,USA,38101,-90.0489,35.1495,-6
Louisville,USA,40201,-85.7585,38.2527,-5
Baltimore,USA,21201,-76.6122,39.2904,-5
